range_start,range_end
1698946,1699194
1700459,1700931
1716812,1717173
1730687,1731040
1735455,1735827
1739956,1740321
1756756,1757079
1760902,1761223
1780765,1781144
1782347,1782631
1785387,1785810
1793053,1793278
1798901,1799150
1799361,1799708
1803628,1804046
1808701,1809112
1812655,1813148
1816498,1816851
1824850,1825228
1841266,1841500
1846181,1846498
1848710,1848938
1852777,1853100
1853341,1853572
1872258,1872586
1874724,1875070
1878297,1878623
1882481,1882732
1889088,1889305
1907208,1907586
1917549,1917877
1918226,1918591
1920100,1920382
1921772,1922039
1931579,1932071
1934124,1934353
1941587,1941957
1942557,1942886
1952538,1952756
1952923,1953531
1963498,1963839
1966064,1966412
1979702,1980038
1984744,1985033
1989771,1990105
1990604,1990834
1992442,1992794
1994027,1994482
1995047,1995309
1999692,2000063
2026976,2027315
2036429,2036867
2043559,2043921
2053760,2054089
2058163,2058508
2076886,2077175
2079138,2079627
2083188,2083417
2094019,2094272
2107921,2108156
2120179,2120393
2132553,2132885
2142585,2142807
2146597,2146950
2153198,2153436
2156124,2156337
2166714,2167081
2169083,2169315
2170372,2170713
2173190,2173410
2184233,2184570
2186024,2186354
2192657,2192961
2196645,2196877
2198915,2199137
2206182,2206486
2219539,2219758
2223136,2223467
2224093,2224336
2232054,2232278
2255957,2256293
2262740,2263009
2268113,2268396
2271269,2271492
2275224,2275547
2279992,2280310
2290871,2291279
2296959,2297233
2308702,2309046
2325789,2326112
2346248,2346481
2351294,2351572
2353566,2353868
2353955,2354299
2365415,2365655
2394750,2395191
2396889,2397122
2399959,2400197
2401446,2401767
2422318,2422540
2426765,2427003
2427653,2428040
2445758,2445994
2481359,2481657
2485994,2486212
2514197,2514577
2521399,2521741
2523055,2523286
2538097,2538401
2540336,2540647
2542581,2542800
2544133,2544375
2553748,2554187
2555590,2555818
2559539,2559843
2560808,2561135
2570480,2570904
2576742,2576974
2580987,2581317
2581510,2582142
2583896,2584119
2586984,2587348
2590527,2590822
2607646,2607957
2611150,2611507
2612462,2612682
2614745,2615093
2622393,2622784
2638096,2638364
2640177,2640409
2640468,2640833
2670126,2670358
2677396,2677861
2687868,2688358
2688679,2688972
2701762,2702099
2704242,2704612
2715923,2716219
2717222,2717477
2728034,2728263
2730349,2730600
